2019-09-15 16:12:44  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 701.150612 coins 
2019-09-15 16:12:44  | Get Last Order from Redis
2019-09-15 16:12:44  | Get Last Order from Redis
2019-09-15 16:12:44  | Get Last Order from Redis
2019-09-15 16:12:44  | Get Last Order from Redis
2019-09-15 16:12:44  | Get Last Order from Redis
2019-09-15 16:12:44  | My Order List is  [] 
2019-09-15 16:12:44  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-09-15 16:12:44  | Spawn Trader  dongwkim-trader1 
2019-09-15 16:12:44  | Current Trader is dongwkim-trader1
2019-09-15 16:12:44  | Get Last Order from Redis
2019-09-15 16:22:52  | TEST  | Price: p:311.0/b:310.8/a:311.7/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/  -1(-0.2%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,057  
2019-09-15 16:22:52  | TEST  | Price: p:311.0/b:310.9/a:311.7/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/  -1(-0.2%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,057  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.9/a:311.7/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.6/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.5/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.4/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.7/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.9/a:311.7/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.7/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.9/a:311.7/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.6/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.5/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.3%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.5/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.3%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.3%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.5/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.3%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.9/a:311.5/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.3%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.4/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.2%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.5/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.2%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.9/a:311.5/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.2%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.4/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.2%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.5/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.2%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.9/a:311.5/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.2%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.9/a:311.7/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.2%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.7/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.2%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.6/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   1(0.2%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.9/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.9/a:311.9/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:311.0/a:311.8/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.8/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.9/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.6/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.5/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.4/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.8/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.6/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.4/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.5/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.0/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.1/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.6/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.6/a:311.2/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.6/a:311.0/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.6/a:311.1/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.6/a:311.2/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:24:29  | TEST  | Price: p:311.7/b:310.7/a:311.2/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  312/ 312 | deal (0) | bal:218,548  
2019-09-15 16:54:08  | TEST  | Price: p:310.7/b:310.7/a:311.2/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:217,847  
2019-09-15 16:54:08  | TEST  | Price: p:310.7/b:310.7/a:311.2/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:217,847  
2019-09-15 16:54:08  | TEST  | Price: p:310.7/b:310.7/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:217,847  
2019-09-15 16:54:08  | TEST  | Price: p:310.7/b:310.8/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:217,847  
2019-09-15 17:02:21  | TEST  | Price: p:310.8/b:310.8/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:217,917  
2019-09-15 17:02:21  | TEST  | Price: p:310.8/b:310.9/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:217,917  
2019-09-15 17:02:21  | TEST  | Price: p:310.8/b:310.9/a:311.0/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.0%)/   0(0.0%) Avg:  312/ 311 | deal (0) | bal:217,917  
2019-09-15 17:02:21  | TEST  | Price: p:310.8/b:310.8/a:311.0/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,917  
2019-09-15 17:02:21  | TEST  | Price: p:310.8/b:310.8/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,917  
2019-09-15 17:02:21  | TEST  | Price: p:310.8/b:310.8/a:311.2/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,917  
2019-09-15 17:02:21  | TEST  | Price: p:310.8/b:310.8/a:311.0/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,917  
2019-09-15 17:09:05  | TEST  | Price: p:311.0/b:310.8/a:311.0/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   0(0.1%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:218,057  
2019-09-15 17:09:05  | TEST  | Price: p:311.0/b:310.8/a:311.0/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.2%)/   0(0.1%) Avg:  311/ 311 | deal (0) | bal:218,057  
2019-09-15 17:09:06  | TEST  | Price: p:311.2/b:310.8/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.2%)/   0(0.1%) Avg:  311/ 311 | deal (0) | bal:218,198  
2019-09-15 17:09:07  | TEST  | Price: p:311.3/b:310.8/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.2%)/   0(0.1%) Avg:  311/ 311 | deal (0) | bal:218,268  
2019-09-15 17:15:03  | TEST  | Price: p:310.8/b:310.8/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -0(-0.1%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,917  
2019-09-15 17:15:03  | TEST  | Price: p:310.8/b:310.9/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,917  
2019-09-15 17:15:03  | TEST  | Price: p:310.8/b:310.9/a:311.0/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,917  
2019-09-15 17:15:03  | TEST  | Price: p:310.8/b:310.9/a:311.3/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,917  
2019-09-15 17:15:03  | TEST  | Price: p:310.8/b:310.9/a:311.0/l:304 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  311/ 311 | deal (0) | bal:217,917  
