2019-07-15 04:12:58  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 680.1588 coins | available 20.991812 coins 
xrp                  | open_orders | id:  14444799 type: ask 
2019-07-15 04:12:58  | Get Last Order from Redis
2019-07-15 04:12:58  | Get Last Order from Redis
2019-07-15 04:12:58  | Get Last Order from Redis
2019-07-15 04:12:58  | Get Last Order from Redis
2019-07-15 04:12:58  | Get Last Order from Redis
2019-07-15 04:12:58  | My Order List is  [] 
2019-07-15 04:12:58  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-07-15 04:12:58  | Spawn Trader  dongwkim-trader1 
2019-07-15 04:12:58  | Current Trader is dongwkim-trader1
2019-07-15 04:12:58  | Get Last Order from Redis
2019-07-15 04:02:08  | TEST  | Price: p:356.0/b:351.1/a:354.8/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  356/ 356 | deal (0) | bal:249,609  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.0/a:353.9/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.0/a:353.3/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.0/a:353.6/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.0/a:353.7/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.0/a:353.6/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.0/a:353.7/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.0/a:353.6/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.0/a:353.5/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.0/a:353.4/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.0/a:353.5/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.0/a:353.4/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.0/a:353.5/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.0/a:353.3/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.0/a:353.2/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.0/a:353.4/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.0/a:354.0/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.0/a:353.3/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.1/a:353.2/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.1/a:353.3/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.1/a:353.2/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.1/a:353.1/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.1/a:353.3/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.1/a:353.2/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.1/a:353.0/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.1/a:352.9/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.1/a:353.1/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.1/a:353.0/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.1/a:352.8/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.1/a:352.7/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.1/a:352.6/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.1/a:352.7/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
2019-07-15 04:23:20  | TEST  | Price: p:351.0/b:350.1/a:354.8/l:357 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -5(-1.4%)/  -0(-0.0%)/   0(0.0%) Avg:  352/ 351 | deal (0) | bal:246,103  
